sample_name	species	provided_species	ssi_stamper	GC	N50	bin_contigs_at_10x	bin_contigs_at_1x	bin_contigs_at_25x	bin_coverage_at_10x	bin_coverage_at_1x	bin_coverage_at_25x	bin_length_at_10x	bin_length_at_1x	bin_length_at_25x	filtered_reads_num	insert_size_avg	raw_length_at_10x	raw_length_at_1x	raw_length_at_25x	snp_filter_10x_10%	snp_filter_deletions	snp_filter_indels	name_classified_species_1_whats_my_species	name_classified_species_2_whats_my_species	percent_classified_species_1_whats_my_species	percent_classified_species_2_whats_my_species	percent_unclassified_whats_my_species
PASS_KLEBSIELLA_PNEUMONIAE	Klebsiella pneumoniae	Klebsiella pneumoniae	pass:OK	57.2	68000	320	320	315	135.0	135.0	134.5	5850000	5850000	5830000	4200000	290	5800000	5850000	5780000	50	5	80	Klebsiella pneumoniae	Klebsiella pneumoniae	97.2	1.5	1.3
FAIL_KLEBSIELLA_PNEUMONIAE_02	Klebsiella pneumoniae	Klebsiella pneumoniae	fail:contamination	57.5	28000	680	680	670	85.0	85.0	84.2	5950000	5950000	5930000	3950000	265	5900000	5950000	5880000	750	35	950	Klebsiella pneumoniae	Enterobacter cloacae	72.8	20.5	6.7
PASS_MYCOPLASMA_GENITALIUM	Mycoplasma genitalium	Mycoplasma genitalium	pass:OK	31.8	15000	85	85	80	95.0	95.0	94.5	580000	580000	575000	1850000	240	560000	580000	550000	50	3	80	Mycoplasma genitalium	Mycoplasma genitalium	96.8	1.8	1.4
FAIL_MYCOPLASMA_GENITALIUM_02	Mycoplasma genitalium	Mycoplasma genitalium	fail:completeness	32.2	5000	250	250	245	55.0	55.0	54.5	620000	620000	615000	1650000	215	600000	620000	580000	350	15	420	Mycoplasma genitalium	Ureaplasma urealyticum	68.5	22.8	8.7
PASS_NEISSERIA_GONORRHOEAE	Neisseria gonorrhoeae	Neisseria gonorrhoeae	pass:OK	52.5	32000	180	180	175	125.0	125.0	124.5	2250000	2250000	2240000	3200000	275	2220000	2250000	2200000	50	8	80	Neisseria gonorrhoeae	Neisseria gonorrhoeae	96.5	2.1	1.4
FAIL_NEISSERIA_GONORRHOEAE_02	Neisseria gonorrhoeae	Neisseria gonorrhoeae	fail:gc_range	75.2	12000	620	620	615	80.0	80.0	79.5	2350000	2350000	2330000	2950000	250	2320000	2350000	2300000	650	35	850	Neisseria gonorrhoeae	Neisseria meningitidis	65.8	25.5	8.7
PASS_PSEUDOMONAS_AERUGINOSA	Pseudomonas aeruginosa	Pseudomonas aeruginosa	pass:OK	66.2	45000	420	420	415	130.0	130.0	129.5	6250000	6250000	6230000	4500000	285	6200000	6250000	6180000	50	12	80	Pseudomonas aeruginosa	Pseudomonas aeruginosa	96.8	1.8	1.4
FAIL_PSEUDOMONAS_AERUGINOSA_02	Pseudomonas aeruginosa	Pseudomonas aeruginosa	fail:contamination	66.8	18000	750	750	740	85.0	85.0	84.2	6400000	6400000	6380000	4200000	260	6350000	6400000	6320000	820	45	980	Pseudomonas aeruginosa	Acinetobacter baumannii	68.5	22.8	8.7
PASS_STAPHYLOCOCCUS_AUREUS	Staphylococcus aureus	Staphylococcus aureus	pass:OK	32.8	48000	280	280	275	125.0	125.0	124.5	2850000	2850000	2840000	3200000	275	2820000	2850000	2800000	50	10	80	Staphylococcus aureus	Staphylococcus aureus	96.2	2.1	1.7
FAIL_STAPHYLOCOCCUS_AUREUS_02	Staphylococcus aureus	Staphylococcus aureus	fail:contamination	33.2	15000	680	680	670	80.0	80.0	79.5	2950000	2950000	2930000	2950000	250	2920000	2950000	2900000	650	35	950	Staphylococcus aureus	Staphylococcus epidermidis	65.8	25.5	8.7
PASS_SALMONELLA_ENTERICA	Salmonella enterica	Salmonella enterica	pass:OK	52.2	55000	380	380	375	128.0	128.0	127.5	4850000	4850000	4830000	4150000	285	4800000	4850000	4780000	50	8	80	Salmonella enterica	Salmonella enterica	96.5	1.8	1.7
FAIL_SALMONELLA_ENTERICA_02	Salmonella enterica	Salmonella enterica	fail:contamination	52.8	22000	720	720	710	85.0	85.0	84.2	4950000	4950000	4930000	3950000	260	4900000	4950000	4880000	750	40	950	Salmonella enterica	Citrobacter freundii	68.2	22.5	9.3
PASS_SHIGELLA_FLEXNERI	Shigella flexneri	Shigella flexneri	pass:OK	50.8	42000	450	450	445	120.0	120.0	119.5	4650000	4650000	4630000	4200000	280	4600000	4650000	4580000	50	12	80	Shigella flexneri	Shigella flexneri	96.2	2.1	1.7
FAIL_SHIGELLA_FLEXNERI_02	Shigella flexneri	Shigella flexneri	fail:contamination	51.2	18000	750	750	740	80.0	80.0	79.5	4750000	4750000	4730000	3950000	255	4700000	4750000	4680000	850	45	980	Shigella flexneri	Escherichia coli	65.8	25.5	8.7
PASS_STREPTOCOCCUS_PNEUMONIAE	Streptococcus pneumoniae	Streptococcus pneumoniae	pass:OK	39.5	35000	220	220	215	118.0	118.0	117.5	2100000	2100000	2090000	3100000	270	2070000	2100000	2050000	50	8	80	Streptococcus pneumoniae	Streptococcus pneumoniae	96.8	1.8	1.4
FAIL_STREPTOCOCCUS_PNEUMONIAE_02	Streptococcus pneumoniae	Streptococcus pneumoniae	fail:completeness	39.8	12000	650	650	640	75.0	75.0	74.5	2200000	2200000	2180000	2850000	245	2170000	2200000	2150000	650	35	850	Streptococcus pneumoniae	Streptococcus mitis	65.2	25.8	9.0
PASS_SHIGELLA_SONNEI	Shigella sonnei	Shigella sonnei	pass:OK	50.5	45000	420	420	415	122.0	122.0	121.5	4550000	4550000	4530000	4250000	285	4500000	4550000	4480000	50	10	80	Shigella sonnei	Shigella sonnei	96.5	1.8	1.7
FAIL_SHIGELLA_SONNEI_02	Shigella sonnei	Shigella sonnei	fail:contamination	50.8	20000	720	720	710	82.0	82.0	81.5	4650000	4650000	4630000	4050000	260	4600000	4650000	4580000	780	40	920	Shigella sonnei	Escherichia coli	68.5	22.8	8.7
